date,temperature,humidity,luminosity
2020-12-03 16:16:11.247,19.2,19.3,48
2020-12-03 16:16:08.974,19.2,19.3,48
2020-12-03 16:16:06.697,19.2,19.3,48
2020-12-03 16:16:04.419,19.2,19.3,48
2020-12-03 16:16:02.146,19.2,19.3,48
2020-12-03 16:15:59.869,19.2,19.3,48
2020-12-03 16:15:57.596,19.2,19.3,48
2020-12-03 16:15:55.318,19.2,19.3,48
2020-12-03 16:15:53.045,19.2,19.3,48
2020-12-03 16:15:50.768,19.2,19.3,49
2020-12-03 16:15:48.490,19.2,19.3,48
2020-12-03 16:15:46.217,19.2,19.2,48
2020-12-03 16:15:43.940,19.2,19.2,48
2020-12-03 16:15:41.667,19.2,19.1,48
2020-12-03 16:15:39.389,19.2,19.1,48
2020-12-03 16:15:37.112,19.2,19.1,48
2020-12-03 16:15:34.839,19.2,19.1,48
2020-12-03 16:15:32.562,19.2,19.1,48
2020-12-03 16:15:30.284,19.2,19.1,49
2020-12-03 16:15:28.011,19.2,19.0,49
2020-12-03 16:15:25.734,19.2,19.0,48
2020-12-03 16:15:23.456,19.2,19.0,48
2020-12-03 16:15:21.183,19.2,19.0,48
2020-12-03 16:15:18.906,19.2,19.0,48
2020-12-03 16:15:16.629,19.2,19.0,48
2020-12-03 16:15:14.355,19.2,19.0,48
2020-12-03 16:15:12.078,19.2,19.0,48
2020-12-03 16:15:09.801,19.2,19.0,46
2020-12-03 16:15:07.527,19.2,19.1,48
2020-12-03 16:15:05.250,19.2,19.1,49
2020-12-03 16:15:02.973,19.2,19.1,49
2020-12-03 16:15:00.700,19.2,19.1,49
2020-12-03 16:14:58.423,19.2,19.1,49
2020-12-03 16:14:56.146,19.2,19.1,49
2020-12-03 16:14:53.872,19.2,19.1,49
2020-12-03 16:14:51.595,19.2,19.1,50
2020-12-03 16:14:49.318,19.2,19.1,50
2020-12-03 16:14:47.044,19.2,19.1,49
2020-12-03 16:14:44.767,19.2,19.0,49
2020-12-03 16:14:42.490,19.2,19.0,49
2020-12-03 16:14:40.217,19.2,19.0,49
2020-12-03 16:14:37.939,19.2,19.0,49
2020-12-03 16:14:35.662,19.2,19.0,49
2020-12-03 16:14:33.389,19.2,19.0,49
2020-12-03 16:14:31.111,19.2,19.1,50
2020-12-03 16:14:28.834,19.2,19.2,49
2020-12-03 16:14:26.561,19.2,19.2,50
2020-12-03 16:14:24.284,19.2,19.2,49
2020-12-03 16:14:22.010,19.2,19.3,49
2020-12-03 16:14:19.733,19.2,19.3,49
2020-12-03 16:14:17.460,19.2,19.4,49
2020-12-03 16:14:15.182,19.2,19.4,49
2020-12-03 16:14:12.905,19.2,19.4,49
2020-12-03 16:14:10.632,19.2,19.3,49
2020-12-03 16:14:08.355,19.2,19.4,49
2020-12-03 16:14:06.081,19.2,19.4,49
2020-12-03 16:14:03.804,19.2,19.4,49
2020-12-03 16:14:01.531,19.2,19.4,50
2020-12-03 16:13:59.254,19.2,19.4,50
2020-12-03 16:13:56.976,19.2,19.3,50
2020-12-03 16:13:54.702,19.2,19.3,49
2020-12-03 16:13:52.425,19.2,19.3,49
2020-12-03 16:13:50.152,19.2,19.3,49
2020-12-03 16:13:47.875,19.2,19.3,49
2020-12-03 16:13:45.601,19.2,19.3,49
2020-12-03 16:13:43.324,19.2,19.3,49
2020-12-03 16:13:41.047,19.2,19.3,49
2020-12-03 16:13:38.774,19.2,19.3,49
2020-12-03 16:13:36.496,19.2,19.3,49
2020-12-03 16:13:34.223,19.2,19.2,49
2020-12-03 16:13:31.946,19.2,19.2,49
2020-12-03 16:13:29.673,19.2,19.2,49
2020-12-03 16:13:27.395,19.2,19.2,49
2020-12-03 16:13:25.122,19.2,19.1,49
2020-12-03 16:13:22.845,19.2,19.1,49
2020-12-03 16:13:20.567,19.2,19.1,49
2020-12-03 16:13:18.290,19.2,19.1,49
2020-12-03 16:13:16.017,19.2,19.1,49
2020-12-03 16:13:13.740,19.2,19.1,49
2020-12-03 16:13:11.462,19.2,19.1,49
2020-12-03 16:13:09.189,19.3,19.2,49
2020-12-03 16:13:06.912,19.2,19.1,49
2020-12-03 16:13:04.638,19.3,19.2,49
2020-12-03 16:13:02.361,19.3,19.2,49
2020-12-03 16:13:00.084,19.3,19.2,49
2020-12-03 16:12:57.811,19.3,19.2,49
2020-12-03 16:12:55.534,19.3,19.2,49
2020-12-03 16:12:53.261,19.3,19.2,49
2020-12-03 16:12:50.984,19.3,19.2,49
2020-12-03 16:12:48.710,19.3,19.2,48
2020-12-03 16:12:46.433,19.3,19.2,49
2020-12-03 16:12:44.156,19.3,19.2,49
2020-12-03 16:12:41.882,19.3,19.2,48
2020-12-03 16:12:39.605,19.3,19.2,49
2020-12-03 16:12:37.332,19.3,19.3,49
2020-12-03 16:12:35.055,19.3,19.3,49
2020-12-03 16:12:32.777,19.3,19.4,49
2020-12-03 16:12:30.504,19.3,19.4,48
2020-12-03 16:12:28.227,19.3,19.5,49
2020-12-03 16:12:25.954,19.3,19.6,49
2020-12-03 16:12:23.676,19.3,19.6,48
2020-12-03 16:12:21.399,19.3,19.6,47
2020-12-03 16:12:19.126,19.3,19.6,49
2020-12-03 16:12:16.848,19.3,19.6,49
2020-12-03 16:12:14.575,19.3,19.6,48
2020-12-03 16:12:12.298,19.3,19.6,49
2020-12-03 16:12:10.025,19.3,19.6,49
2020-12-03 16:12:07.747,19.3,19.6,49
2020-12-03 16:12:05.470,19.3,19.6,49
2020-12-03 16:12:03.197,19.3,19.6,35
2020-12-03 16:12:00.919,19.3,19.6,30
2020-12-03 16:11:58.646,19.3,19.6,48
2020-12-03 16:11:56.369,19.3,19.6,48
2020-12-03 16:11:54.092,19.3,19.6,48
2020-12-03 16:11:51.818,19.3,19.6,48
2020-12-03 16:11:49.541,19.3,19.6,49
2020-12-03 16:11:47.268,19.2,19.6,49
2020-12-03 16:11:44.991,19.2,19.6,49
2020-12-03 16:11:42.713,19.2,19.6,49
2020-12-03 16:11:40.440,19.2,19.6,49
2020-12-03 16:11:38.163,19.2,19.6,49
2020-12-03 16:11:35.890,19.2,19.6,49
2020-12-03 16:11:33.612,19.2,19.6,49
2020-12-03 16:11:31.339,19.2,19.5,49
2020-12-03 16:11:29.062,19.2,19.4,49
2020-12-03 16:11:26.784,19.2,19.3,49
2020-12-03 16:11:24.511,19.2,19.3,49
2020-12-03 16:11:22.234,19.2,19.3,49
2020-12-03 16:11:19.961,19.2,19.3,49
2020-12-03 16:11:17.683,19.2,19.3,49
2020-12-03 16:11:15.410,19.2,19.3,49
2020-12-03 16:11:13.133,19.2,19.4,49
2020-12-03 16:11:10.856,19.2,19.4,49
2020-12-03 16:11:08.582,19.2,19.4,49
2020-12-03 16:11:06.305,19.2,19.4,49
2020-12-03 16:11:04.032,19.2,19.4,49
2020-12-03 16:11:01.754,19.2,19.2,49
2020-12-03 16:10:59.481,19.2,19.1,49
2020-12-03 16:10:57.204,19.2,19.1,38
2020-12-03 16:10:54.927,19.2,19.1,49
2020-12-03 16:10:52.649,19.2,19.1,49
2020-12-03 16:10:50.376,19.3,19.2,49
2020-12-03 16:10:48.098,19.2,19.1,49
2020-12-03 16:10:45.825,19.2,19.2,48
2020-12-03 16:10:43.548,19.2,19.2,48
2020-12-03 16:10:41.271,19.2,19.2,48
2020-12-03 16:10:38.997,19.2,19.3,49
2020-12-03 16:10:36.720,19.2,19.3,49
2020-12-03 16:10:34.447,19.2,19.3,49
2020-12-03 16:10:32.170,19.2,19.3,49
2020-12-03 16:10:29.896,19.2,19.4,48
2020-12-03 16:10:27.619,19.2,19.4,48
2020-12-03 16:10:25.342,19.2,19.4,49
2020-12-03 16:10:23.068,19.2,19.4,48
2020-12-03 16:10:20.791,19.2,19.4,48
2020-12-03 16:10:18.518,19.2,19.5,49
2020-12-03 16:10:16.241,19.2,19.5,49
2020-12-03 16:10:13.968,19.2,19.5,49
2020-12-03 16:10:11.690,19.2,19.5,49
2020-12-03 16:10:09.413,19.2,19.5,49
2020-12-03 16:10:07.140,19.2,19.5,49
2020-12-03 16:10:04.862,19.2,19.5,49
2020-12-03 16:10:02.589,19.1,19.4,48
2020-12-03 16:10:00.312,19.2,19.5,49
2020-12-03 16:09:58.034,19.1,19.4,49
2020-12-03 16:09:55.761,19.2,19.5,49
2020-12-03 16:09:53.484,19.1,19.4,49
2020-12-03 16:09:51.211,19.1,19.4,49
2020-12-03 16:09:48.933,19.1,19.3,49
2020-12-03 16:09:46.656,19.2,19.4,48
2020-12-03 16:09:44.383,19.1,19.3,49
2020-12-03 16:09:42.105,19.2,19.3,49
2020-12-03 16:09:39.832,19.1,19.2,49
2020-12-03 16:09:37.555,19.2,19.2,49
2020-12-03 16:09:35.278,19.2,19.2,49
2020-12-03 16:09:33.004,19.2,19.2,49
2020-12-03 16:09:30.727,19.2,19.2,49
2020-12-03 16:09:28.454,19.2,19.2,49
2020-12-03 16:09:26.177,19.1,19.1,49
2020-12-03 16:09:23.899,19.1,19.1,49
2020-12-03 16:09:21.626,19.2,19.2,49
2020-12-03 16:09:19.349,19.2,19.1,49
2020-12-03 16:09:17.071,19.2,19.2,49
2020-12-03 16:09:14.798,19.1,19.1,49
2020-12-03 16:09:12.521,19.1,19.1,49
2020-12-03 16:09:10.244,19.2,19.2,49
2020-12-03 16:09:07.970,19.1,19.1,49
2020-12-03 16:09:05.693,19.2,19.2,49
2020-12-03 16:09:03.420,19.1,19.2,48
2020-12-03 16:09:01.143,19.2,19.3,49
2020-12-03 16:08:58.865,19.2,19.3,49
2020-12-03 16:08:56.592,19.1,19.2,49
2020-12-03 16:08:54.315,19.2,19.4,48
2020-12-03 16:08:52.041,19.1,19.3,49
2020-12-03 16:08:49.764,19.1,19.4,48
2020-12-03 16:08:47.487,19.1,19.4,49
2020-12-03 16:08:45.213,19.1,19.4,48
2020-12-03 16:08:42.936,19.1,19.5,48
2020-12-03 16:08:40.659,19.1,19.5,48
2020-12-03 16:08:38.386,19.1,19.5,48
2020-12-03 16:08:36.108,19.1,19.6,48
2020-12-03 16:08:33.831,19.1,19.6,49
2020-12-03 16:08:31.558,19.1,19.6,48
2020-12-03 16:08:29.280,19.1,19.7,49
2020-12-03 16:08:27.003,19.1,19.7,49
2020-12-03 16:08:24.730,19.1,19.7,48
2020-12-03 16:08:22.453,19.1,19.7,48
2020-12-03 16:08:20.179,19.1,19.8,48
2020-12-03 16:08:17.902,19.1,19.8,48
2020-12-03 16:08:15.625,19.1,19.8,48
2020-12-03 16:08:13.352,19.1,19.8,48
2020-12-03 16:08:11.074,19.1,19.8,48
2020-12-03 16:08:08.797,19.1,19.8,49
2020-12-03 16:08:06.524,19.0,19.7,49
2020-12-03 16:08:04.246,19.1,19.8,49
2020-12-03 16:08:01.969,19.0,19.7,48
2020-12-03 16:07:59.696,19.0,19.6,48
2020-12-03 16:07:57.419,19.0,19.6,48
2020-12-03 16:07:55.141,19.0,19.6,48
2020-12-03 16:07:52.868,19.0,19.5,48
2020-12-03 16:07:50.591,19.0,19.5,48
2020-12-03 16:07:48.318,19.0,19.4,48
2020-12-03 16:07:46.040,19.0,19.4,49
2020-12-03 16:07:43.763,19.0,19.4,49
2020-12-03 16:07:41.490,19.0,19.4,49
2020-12-03 16:07:39.212,19.0,19.3,48
2020-12-03 16:07:36.939,19.0,19.3,48
2020-12-03 16:07:34.663,19.0,19.3,48
2020-12-03 16:07:32.384,19.0,19.3,48
2020-12-03 16:07:30.107,19.0,19.3,48
2020-12-03 16:07:27.834,19.0,19.2,48
2020-12-03 16:07:25.557,19.0,19.2,49
2020-12-03 16:07:23.283,19.0,19.2,48
2020-12-03 16:07:21.006,19.0,19.3,49
2020-12-03 16:07:18.729,19.0,19.3,49
2020-12-03 16:07:16.452,19.0,19.3,49
2020-12-03 16:07:14.178,19.0,19.3,49
2020-12-03 16:07:11.901,19.0,19.3,49
2020-12-03 16:07:09.624,19.0,19.3,49
2020-12-03 16:07:07.350,18.9,19.2,49
2020-12-03 16:07:05.073,19.0,19.3,48
2020-12-03 16:07:02.796,19.0,19.3,48
2020-12-03 16:07:00.523,18.9,19.3,48
2020-12-03 16:06:58.245,19.0,19.4,48
2020-12-03 16:06:55.972,19.0,19.4,48
2020-12-03 16:06:53.695,19.0,19.4,48
2020-12-03 16:06:51.417,18.9,19.4,48
